model,manufacturer
CT250MX500SSD1,Crucial
DELLBOSS VD,Dell
HGST HDS5C4040ALE630,HGST (Hitachi)
HGST HDS724040ALE640,HGST (Hitachi)
HGST HMS5C4040ALE640,HGST (Hitachi)
HGST HMS5C4040BLE640,HGST (Hitachi)
HGST HMS5C4040BLE641,HGST (Hitachi)
HGST HUH721010ALE600,HGST (Hitachi)
HGST HUH721212ALE600,HGST (Hitachi)
HGST HUH721212ALE604,HGST (Hitachi)
HGST HUH721212ALN604,HGST (Hitachi)
HGST HUH728080ALE600,HGST (Hitachi)
HGST HUH728080ALE604,HGST (Hitachi)
HGST HUS726040ALE610,HGST (Hitachi)
HGST HUS726040ALN610,HGST (Hitachi)
HGST HUS728T8TALE6L4,HGST (Hitachi)
Hitachi HDS5C4040ALE630,HGST (Hitachi)
MTFDDAV240TCB,Micron
MTFDDAV480TCB,Micron
Micron 5300 MTFDDAK480TDS,Micron
SSDSCKKB240GZR,Samsung
SSDSCKKB480G8R,Samsung
ST10000NM001G,Seagate
ST10000NM0086,Seagate
ST1000LM024 HN,Seagate
ST12000NM0007,Seagate
ST12000NM0008,Seagate
ST12000NM000J,Seagate
ST12000NM001G,Seagate
ST12000NM003G,Seagate
ST12000NM0117,Seagate
ST14000NM000J,Seagate
ST14000NM0018,Seagate
ST14000NM001G,Seagate
ST14000NM002J,Seagate
ST14000NM0138,Seagate
ST16000NM000G,Seagate
ST16000NM000J,Seagate
ST16000NM001G,Seagate
ST16000NM002J,Seagate
ST16000NM005G,Seagate
ST18000NM000J,Seagate
ST24000NM002H,Seagate
ST4000DM000,Seagate
ST4000DM004,Seagate
ST4000DM005,Seagate
ST500LM012 HN,Seagate
ST500LM021,Seagate
ST500LM030,Seagate
ST6000DM001,Seagate
ST6000DM004,Seagate
ST6000DX000,Seagate
ST8000DM002,Seagate
ST8000DM005,Seagate
ST8000NM000A,Seagate
ST8000NM0055,Seagate
Samsung SSD 850 EVO 1TB,Samsung
Samsung SSD 850 PRO 1TB,Samsung
Samsung SSD 860 PRO 2TB,Samsung
Samsung SSD 870 EVO 2TB,Samsung
Seagate BarraCuda 120 SSD ZA250CM10003,Seagate
Seagate BarraCuda 120 SSD ZA500CM10003,Seagate
Seagate BarraCuda SSD ZA2000CM10002,Seagate
Seagate BarraCuda SSD ZA250CM10002,Seagate
Seagate BarraCuda SSD ZA500CM10002,Seagate
Seagate FireCuda 120 SSD ZA500GM10001,Seagate
Seagate IronWolf ZA250NM10002,Seagate
Seagate SSD,Seagate
TOSHIBA HDWE160,Toshiba
TOSHIBA HDWF180,Toshiba
TOSHIBA MD04ABA400V,Toshiba
TOSHIBA MG07ACA14TA,Toshiba
TOSHIBA MG07ACA14TEY,Toshiba
TOSHIBA MG08ACA16TA,Toshiba
TOSHIBA MG08ACA16TE,Toshiba
TOSHIBA MG08ACA16TEY,Toshiba
TOSHIBA MG09ACA16TE,Toshiba
TOSHIBA MG10ACA20TE,Toshiba
TOSHIBA MG11ACA24TE,Toshiba
TOSHIBA MQ01ABF050,Toshiba
TOSHIBA MQ01ABF050M,Toshiba
WD Blue SA510 2.5 250GB,Western Digital
WDC WD5000BPKT,Western Digital
WDC WD5000LPCX,Western Digital
WDC WD5000LPVX,Western Digital
WDC WD60EFRX,Western Digital
WDC WDS250G2B0A,Western Digital
WDC WUH721414ALE6L4,Western Digital
WDC WUH721816ALE6L0,Western Digital
WDC WUH721816ALE6L4,Western Digital
WDC WUH722222ALE6L4,Western Digital
WDC WUH722626ALE6L4,Western Digital
WUH721816ALE6L4,Western Digital
